SOLAR,9938,Ezekiel,GREGORIAN 1938
131st,Wed,3553,May 11 th
132nd,Thu,3554,May 12 th
133rd,Fri,3555,May 13 th
134th,Sat     Full,3556,May 14 th
135th,Sun,3557,May 15 th
136th,Mon,3558,May 16 th
137th,Tue,3559,May 17 th
138th,Wed,3560,May 18 th
139th,Thu,3561,May 19 th
140th,Fri,3562,May 20 th
141st,Sat,3563,May 21 st
142nd,Sun,3564,May 22 nd
143rd,Mon,3565,May 23 rd
144th,Tue,3566,May 24 th
145th,Wed,3567,May 25 th
146th,Thu,3568,May 26 th
147th,Fri,3569,May 27 th
148th,Sat,3570,May 28 th
149th,Sun     New,3571,May 29 th
150th,Mon,3572,May 30 th
151st,Tue,3573,May 31 st
152nd,Wed,3574,June 1 st
153rd,Thu,3575,June 2 nd
154th,Fri,3576,June 3 rd
155th,Sat,3577,June 4 th
156th,Sun,3578,June 5 th
157th,Mon,3579,June 6 th
158th,Tue,3580,June 7 th
159th,Wed,3581,June 8 th
160th S,Thu,3582,June 9 th
161st,Fri,3583,June 10 th
162nd,Sat,3584,June 11 th
163rd,Sun     Full,3585,June 12 th
164th,Mon,3586,June 13 th
165th,Tue,3587,June 14 th
166th,Wed,3588,June 15 th
167th,Thu,3589,June 16 th
168th,Fri,3590,June 17 th
169th,Sat,3591,June 18 th
170th,Sun,3592,June 19 th
171st,Mon,3593,June 20 th
172nd,Tue,3594,June 21 st
173rd,Wed,3595,June 22 nd
174th,Thu,3596,June 23 rd
175th,Fri,3597,June 24 th
176th,Sat,3598,June 25 th
177th,Sun,3599,June 26 th
178th,Mon     New,3600,June 27 th
179th,Tue,3601,June 28 th
180th,Wed,3602,June 29 th
181st,Thu,3603,June 30 th
182nd,Fri,3604,July 1 st
183rd,Sat,3605,July 2 nd
184th,Sun,3606,July 3 rd
185th,Mon,3607,July 4 th
186th,Tue,3608,July 5 th
187th,Wed,3609,July 6 th
188th,Thu,3610,July 7 th
189th,Fri,3611,July 8 th
190th,Sat,3612,July 9 th
191st,Sun,3613,July 10 th
192nd,Mon,3614,July 11 th
193rd,Tue     Full,3615,July 12 th
194th,Wed,3616,July 13 th
195th,Thu,3617,July 14 th
196th,Fri,3618,July 15 th
197th,Sat,3619,July 16 th
198th,Sun,3620,July 17 th
199th,Mon,3621,July 18 th
200th,Tue,3622,July 19 th
201st,Wed,3623,July 20 th
202nd,Thu,3624,July 21 st
203rd,Fri,3625,July 22 nd
204th,Sat,3626,July 23 rd
205th,Sun,3627,July 24 th
206th,Mon,3628,July 25 th
207th,Tue,3629,July 26 th
208th,Wed     New,3630,July 27 th
209th,Thu,3631,July 28 th
210th,Fri,3632,July 29 th
211th,Sat,3633,July 30 th
212th,Sun,3634,July 31 st
213th,Mon,3635,August 1 st
214th,Tue,3636,August 2 nd
215th,Wed,3637,August 3 rd
216th,Thu,3638,August 4 th
217th,Fri,3639,August 5 th
218th,Sat,3640,August 6 th
219th,Sun,3641,August 7 th
220th,Mon,3642,August 8 th
221st,Tue,3643,August 9 th
222nd,Wed,3644,August 10 th
223rd,Thu     Full,3645,August 11 th
224th,Fri,3646,August 12 th
225th,Sat,3647,August 13 th
226th,Sun,3648,August 14 th
227th,Mon,3649,August 15 th
228th,Tue,3650,August 16 th
229th,Wed,3651,August 17 th
230th,Thu,3652,August 18 th
231st,Fri,3653,August 19 th
232nd,Sat,3654,August 20 th
233rd,Sun,3655,August 21 st
234th,Mon,3656,August 22 nd
235th,Tue,3657,August 23 rd
236th,Wed,3658,August 24 th
237th,Thu     New,3659,August 25 th
238th,Fri,3660,August 26 th
239th,Sat,3661,August 27 th
240th,Sun,3662,August 28 th
241st,Mon,3663,August 29 th
242nd,Tue,3664,August 30 th
243rd,Wed,3665,August 31 st
244th,Thu,3666,September 1 st
245th,Fri,3667,September 2 nd
246th,Sat,3668,September 3 rd
247th,Sun,3669,September 4 th
248th,Mon,3670,September 5 th
249th,Tue,3671,September 6 th
250th,Wed,3672,September 7 th
251st,Thu,3673,September 8 th
252nd,Fri     Full,3674,September 9 th
253rd,Sat,3675,September 10 th
254th,Sun,3676,September 11 th
255th,Mon,3677,September 12 th
256th,Tue,3678,September 13 th
257th,Wed,3679,September 14 th
258th,Thu,3680,September 15 th
259th,Fri,3681,September 16 th
260th,Sat,3682,September 17 th
261st,Sun,3683,September 18 th
262nd,Mon,3684,September 19 th
263rd,Tue,3685,September 20 th
264th,Wed,3686,September 21 st
265th,Thu,3687,September 22 nd
266th EQ,Fri     New,3688,September 23 rd
267th,Sat,3689,September 24 th
268th,Sun,3690,September 25 th
269th,Mon,3691,September 26 th
270th,Tue,3692,September 27 th
271st,Wed,3693,September 28 th
272nd,Thu,3694,September 29 th
273rd,Fri,3695,September 30 th
274th,Sat,3696,October 1 st
275th,Sun,3697,October 2 nd
276th,Mon,3698,October 3 rd
277th,Tue,3699,October 4 th
278th,Wed,3700,October 5 th
279th,Thu,3701,October 6 th
280th,Fri,3702,October 7 th
281st,Sat,3703,October 8 th
282nd,Sun     Full,3704,October 9 th
283rd,Mon,3705,October 10 th
284th,Tue,3706,October 11 th
285th,Wed,3707,October 12 th
286th,Thu,3708,October 13 th
287th,Fri,3709,October 14 th
288th,Sat,3710,October 15 th
289th,Sun,3711,October 16 th
290th,Mon,3712,October 17 th
291st,Tue,3713,October 18 th
292nd,Wed,3714,October 19 th
293rd,Thu,3715,October 20 th
294th,Fri,3716,October 21 st
295th,Sat,3717,October 22 nd
296th,Sun     New,3718,October 23 rd
297th,Mon,3719,October 24 th
298th,Tue,3720,October 25 th
299th,Wed,3721,October 26 th
300th,Thu,3722,October 27 th
301st,Fri,3723,October 28 th
302nd,Sat,3724,October 29 th
303rd,Sun,3725,October 30 th
304th,Mon,3726,October 31 st
305th,Tue,3727,November 1 st
306th,Wed,3728,November 2 nd
307th,Thu,3729,November 3 rd
308th,Fri,3730,November 4 th
309th,Sat,3731,November 5 th
310th,Sun,3732,November 6 th
311th,Mon     Full,3733,November 7 th
312th,Tue,3734,November 8 th
313th,Wed,3735,November 9 th
314th,Thu,3736,November 10 th
315th,Fri,3737,November 11 th
316th,Sat,3738,November 12 th
317th,Sun,3739,November 13 th
318th,Mon,3740,November 14 th
319th,Tue,3741,November 15 th
320th,Wed,3742,November 16 th
321st,Thu,3743,November 17 th
322nd,Fri,3744,November 18 th
323rd,Sat,3745,November 19 th
324th,Sun,3746,November 20 th
325th,Mon,3747,November 21 st
326th,Tue     New,3748,November 22 nd
327th,Wed,3749,November 23 rd
328th,Thu,3750,November 24 th
329th,Fri,3751,November 25 th
330th,Sat,3752,November 26 th
331st,Sun,3753,November 27 th
332nd,Mon,3754,November 28 th
333rd,Tue,3755,November 29 th
334th,Wed,3756,November 30 th
335th,Thu,3757,December 1 st
336th,Fri,3758,December 2 nd
337th,Sat,3759,December 3 rd
338th,Sun,3760,December 4 th
339th,Mon,3761,December 5 th
340th,Tue,3762,December 6 th
341st,Wed     Full,3763,December 7 th
342nd,Thu,3764,December 8 th
343rd,Fri,3765,December 9 th
344th,Sat,3766,December 10 th
345th,Sun,3767,December 11 th
346th,Mon,3768,December 12 th
347th,Tue,3769,December 13 th
348th,Wed,3770,December 14 th
349th,Thu,3771,December 15 th
350th,Fri,3772,December 16 th
351st,Sat,3773,December 17 th
352nd,Sun,3774,December 18 th
353rd,Mon,3775,December 19 th
354th,Tue,3776,December 20 th
355th,Wed     New,3777,December 21 st
356th,Thu,3778,December 22 nd
357th,Fri,3779,December 23 rd
358th,Sat,3780,December 24 th
359th,Sun,3781,December 25 th
360th,Mon,3782,December 26 th
361st,Tue,3783,December 27 th
362nd,Wed,3784,December 28 th
363rd,Thu,3785,December 29 th
364th,Fri,3786,December 30 th
365th,Sat,3787,December 31 st
366th,XXXXX,,XXXXX
